MJD,m,dm,F,source_name,RA,DEC
57929.391038,20.953,14.52,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57936.376602,20.586,28.333,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57936.39677,20.99,1.658,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57937.365183,21.442,112.087,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57939.386049,23.173,11.5,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57940.378808,24.666,60.667,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57941.365432,23.682,648.667,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57943.332081,15.732,0.965,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57943.34582,23.338,41.833,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57948.374818,17.013,5.73,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57949.329558,24.074,850.5,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57953.301657,17.954,1.3,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57953.318689,20.192,13.817,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57953.327976,17.27,0.398,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57956.334388,18.586,3.849,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57956.342787,17.119,1.585,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57956.351658,18.474,5.025,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57956.360434,18.772,4.936,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57957.288617,21.68,101.781,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57957.28959,23.393,559.571,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57959.290072,23.869,8.75,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57959.308932,23.071,3.704,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57962.337146,20.134,0.392,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57964.331784,22.363,5.955,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57968.31765,20.298,24.785,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57973.320134,11.991,0.314,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57973.327954,13.159,0.139,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57981.318717,21.097,25.857,o,152942.19+350851.3,232.4258318203353,35.14758608779926
57982.236988,22.95,29.5,o,152942.19+350851.3,232.4258318203353,35.14758608779926
